STATE,PARLIAMENT CODE,PARLIAMENT NAME,DUN CODE,DUN NAME,MALAY,CHINESE,INDIAN,BUMIPUTERA SABAH,BUMIPUTERA SARAWAK,ORANG ASLI,OTHERS,TOTAL
SABAH,P.167,KUDAT,N.01,BANGGI,388,5,2,3294,4,2,2266,"5,961"
SABAH,P.167,KUDAT,N.02,BENGKOKA,526,67,9,"10,548",31,0,362,"11,543"
SABAH,P.167,KUDAT,N.03,PITAS,826,113,16,"9,400",42,1,530,"10,928"
SABAH,P.167,KUDAT,N.04,TANJONG KAPOR,"1,585","4,590",56,"14,554",84,2,"2,829","23,700"
SABAH,P.168,KOTA MARUDU,N.05,MATUNGGONG,529,192,6,"15,970",23,0,391,"17,111"
SABAH,P.168,KOTA MARUDU,N.06,BANDAU,986,675,25,"12,639",57,2,231,"14,615"
SABAH,P.168,KOTA MARUDU,N.07,TANDEK,398,179,14,"15,211",45,1,123,"15,971"
SABAH,P.169,KOTA BELUD,N.08,PINTASAN,568,32,6,"9,674",28,0,559,"10,867"
SABAH,P.169,KOTA BELUD,N.09,TEMPASUK,705,27,8,"11,138",26,0,92,"11,996"
SABAH,P.169,KOTA BELUD,N.10,USUKAN,"1,025",675,64,"14,651",51,0,417,"16,883"
SABAH,P.169,KOTA BELUD,N.11,KADAMAIAN,271,94,13,"17,509",27,1,53,"17,968"
SABAH,P.170,TUARAN,N.12,SULAMAN,998,239,43,"9,978",48,1,404,"11,711"
SABAH,P.170,TUARAN,N.13,PANTAI DALIT,"1,125","1,318",52,"12,167",73,1,355,"15,091"
SABAH,P.170,TUARAN,N.14,TAMPARULI,533,"1,272",27,"14,520",72,0,173,"16,597"
SABAH,P.170,TUARAN,N.15,KIULU,197,39,7,"10,574",25,0,45,"10,887"
SABAH,P.171,SEPANGGAR,N.16,KARAMBUNAI,"4,866","1,664",99,"11,250",338,6,"1,337","19,560"
SABAH,P.171,SEPANGGAR,N.17,DARAU,"3,436","2,328",139,"10,878",75,4,"1,490","18,350"
SABAH,P.171,SEPANGGAR,N.18,INANAM,"1,962","8,447",101,"14,617",82,0,826,"26,035"
SABAH,P.172,KOTA KINABALU,N.19,LIKAS,607,"10,996",167,"2,851",25,0,288,"14,934"
SABAH,P.172,KOTA KINABALU,N.20,API - API,"1,734","8,303",149,"7,536",170,1,"1,256","19,149"
SABAH,P.172,KOTA KINABALU,N.21,LUYANG,702,"19,397",241,"4,977",59,1,398,"25,775"
SABAH,P.173,PUTATAN,N.22,TANJUNG ARU,"1,817","4,436",86,"7,289",85,2,"1,226","14,941"
SABAH,P.173,PUTATAN,N.23,PETAGAS,"2,924","1,047",95,"8,923",78,1,695,"13,763"
SABAH,P.173,PUTATAN,N.24,TANJUNG KERAMAT,"4,804","1,278",139,"7,154",295,7,673,"14,350"
SABAH,P.174,PENAMPANG,N.25,KAPAYAN,"2,130","13,497",289,"13,234",258,1,625,"30,034"
SABAH,P.174,PENAMPANG,N.26,MOYOG,524,"1,460",69,"17,098",99,1,214,"19,465"
SABAH,P.175,PAPAR,N.27,LIMBAHAU,483,"1,285",37,"10,697",58,0,179,"12,739"
SABAH,P.175,PAPAR,N.28,KAWANG,"1,978",529,52,"11,337",110,0,926,"14,932"
SABAH,P.175,PAPAR,N.29,PANTAI MANIS,"1,721","1,319",58,"10,841",85,1,297,"14,322"
SABAH,P.176,KIMANIS,N.30,BONGAWAN,"2,166",669,22,"13,287",116,0,475,"16,735"
SABAH,P.176,KIMANIS,N.31,MEMBAKUT,"1,263",406,25,"11,573",59,0,291,"13,617"
SABAH,P.177,BEAUFORT,N.32,KLIAS,"1,873","1,857",75,"12,466",112,0,522,"16,905"
SABAH,P.177,BEAUFORT,N.33,KUALA PENYU,909,394,39,"14,789",98,3,164,"16,396"
SABAH,P.178,SIPITANG,N.34,LUMADAN,"1,303",533,11,"12,818",121,0,258,"15,044"
SABAH,P.178,SIPITANG,N.35,SINDUMIN,"1,802",754,48,"13,360",414,1,383,"16,762"
SABAH,P.179,RANAU,N.36,KUNDASANG,402,65,5,"14,415",19,1,79,"14,986"
SABAH,P.179,RANAU,N.37,KARANAAN,529,589,15,"12,112",53,1,126,"13,425"
SABAH,P.179,RANAU,N.38,PAGINATAN,407,110,12,"14,691",70,1,119,"15,410"
SABAH,P.180,KENINGAU,N.39,TAMBUNAN,185,177,11,"16,003",54,0,81,"16,511"
SABAH,P.180,KENINGAU,N.40,BINGKOR,942,"1,722",30,"14,737",112,2,283,"17,828"
SABAH,P.180,KENINGAU,N.41,LIAWAN,"1,804","2,686",66,"11,881",178,1,830,"17,446"
SABAH,P.181,TENOM,N.42,MELALAP,"1,055","2,203",23,"10,383",59,0,270,"13,993"
SABAH,P.181,TENOM,N.43,KEMABONG,"1,000",811,13,"12,959",79,2,222,"15,086"
SABAH,P.182,PENSIANGAN,N.44,TULID,178,36,16,"8,621",16,0,43,"8,910"
SABAH,P.182,PENSIANGAN,N.45,SOOK,334,283,11,"9,559",36,1,173,"10,397"
SABAH,P.182,PENSIANGAN,N.46,NABAWAN,337,74,-,"11,955",45,0,64,"12,475"
SABAH,P.183,BELURAN,N.47,TELUPID,433,76,13,"6,647",104,0,589,"7,862"
SABAH,P.183,BELURAN,N.48,SUGUT,872,69,11,"10,223",98,2,437,"11,712"
SABAH,P.183,BELURAN,N.49,LABUK,"1,137",133,21,"6,673",149,0,839,"8,952"
SABAH,P.184,LIBARAN,N.50,GUM-GUM,"3,192","2,678",35,"4,705",85,0,"1,779","12,474"
SABAH,P.184,LIBARAN,N.51,SUNGAI MANILA,"3,168","2,205",26,"5,066",187,1,"2,108","12,761"
SABAH,P.184,LIBARAN,N.52,SUNGAI SIBUGA,"6,858","3,299",72,"10,201",180,3,"2,695","23,308"
SABAH,P.185,BATU SAPI,N.53,SEKONG,"2,423","3,642",35,"8,984",67,3,"1,900","17,054"
SABAH,P.185,BATU SAPI,N.54,KARAMUNTING,"3,320","6,383",66,"4,671",214,6,"1,236","15,896"
SABAH,P.186,SANDAKAN,N.55,ELOPURA,"3,476","12,936",177,"7,230",169,2,"1,804","25,794"
SABAH,P.186,SANDAKAN,N.56,TANJONG PAPAT,"2,107","7,150",66,"3,928",85,3,948,"14,287"
SABAH,P.187,KINABATANGAN,N.57,KUAMUT,443,52,4,"9,143",91,0,121,"9,854"
SABAH,P.187,KINABATANGAN,N.58,LAMAG,"1,366",64,15,"6,219",141,0,354,"8,159"
SABAH,P.187,KINABATANGAN,N.59,SUKAU,"2,766",96,12,"6,761",60,3,"1,112","10,810"
SABAH,P.188,LAHAD DATU,N.60,TUNGKU,"2,654",208,21,"8,763",151,1,"1,457","13,255"
SABAH,P.188,LAHAD DATU,N.61,SEGAMA,"4,134","3,209",66,"6,892",216,1,"2,057","16,575"
SABAH,P.188,LAHAD DATU,N.62,SILAM,"4,215","2,852",150,"8,029",157,2,"1,990","17,395"
SABAH,P.188,LAHAD DATU,N.63,KUNAK,"4,960",458,35,"7,689",159,0,"1,340","14,641"
SABAH,P.189,SEMPORNA,N.64,SULABAYAN,953,5,3,"12,731",13,2,305,"14,012"
SABAH,P.189,SEMPORNA,N.65,SENALLANG,"1,879",608,28,"11,315",97,3,406,"14,336"
SABAH,P.189,SEMPORNA,N.66,BUGAYA,"1,773",221,22,"17,609",71,2,569,"20,267"
SABAH,P.190,TAWAU,N.67,BALUNG,"6,770",961,28,"4,434",317,0,"2,090","14,600"
SABAH,P.190,TAWAU,N.68,APAS,"9,244","2,817",42,"4,252",191,2,"2,830","19,378"
SABAH,P.190,TAWAU,N.69,SRI TANJONG,"5,124","16,876",110,"2,500",144,1,"1,738","26,493"
SABAH,P.191,KALABAKAN,N.70,KUKUSAN,"6,209","1,940",91,"2,383",174,2,"1,841","12,640"
SABAH,P.191,KALABAKAN,N.71,TANJUNG BATU,"8,834",566,23,"2,285",146,1,"3,020","14,875"
SABAH,P.191,KALABAKAN,N.72,MEROTAI,"6,950","2,099",60,"2,289",582,3,"2,990","14,973"
SABAH,P.191,KALABAKAN,N.73,SEBATIK,"3,168",85,9,"3,940",122,1,"2,806","10,131"
